"","Title","Date","Link","Category","Section","Preview"
"1","HARDtalk: Anthony Cheung,  Hong Kong's Secretary for Housing and Transport, 2012 â€“ 2017",2019-11-05,"https://www.bbc.co.uk/programmes/m000b45w","Programmes","BBC News Channel","Last weekend in Hong Kong, metro stations were torched, the Chinese state news arrested. That is Hong Kong's new normal. How long can it go on without a major intervention from Beijing? Is there any way out of the impasse between Hong Kong's"
"2","Hong Kong Polytechnic University: Protesters attempt sewer escapes",2019-11-20,"https://www.bbc.co.uk/news/world-asia-china-50486757","News","China","Some of the last protesters remaining at a besieged university in Hong Kong campus siege at PolyU - Hong Kong Polytechnic University - has been one of the most is administered by Beijing. PolyU is the last of five Hong Kong universities that protesters"
"3","Great Railway Journeys: Series 2: Clive Anderson: Hong Kong to Ulaan Baatar",1994-01-13,"https://www.bbc.co.uk/programmes/p03rdrcs","Programmes","BBC Two","Clive Anderson takes to the railways where he meets a nomadic tribe, visits Buddhist caves, experiences the Mongolian Stock Exchange, and ends up on the Trans-Siberian Express."
"4","The News Explained: 100 Days of Protests in Hong Kong in 100 Seconds",2019-09-17,"https://www.bbc.co.uk/programmes/p07nk9nq","Programmes","BBC News","How a controversial extradition bill with China sparked months of violent protest."
"5","Hong Kong Open postponed amid 'social unrest' in city",2019-11-20,"https://www.bbc.co.uk/sport/golf/50487096","Sport","Golf","The Hong Kong Open has been postponed because of the ""ongoing level of social have been going on in Hong Kong since June, with clashes between police"
"6","Global News Podcast: UK consulate worker in Hong Kong alleges Chinese torture",2019-11-20,"https://www.bbc.co.uk/programmes/p07vkjtl","Programmes","BBC World Service","Simon Chen says he was abused for allegedly inciting unrest in Hong Kong. Also"
"7","Hong Kong Polytechnic University: Images from inside as siege nears end",2019-11-20,"https://www.bbc.co.uk/news/world-asia-china-50483863","News","China"," siege of Hong Kong's Polytechnic University (PolyU) is nearing an end, although from China. Hong Kong is a part of China, but as a former British colony enjoys could strip Hong Kong of its special trade status if it fails to uphold democracy"
"8","Newsday: Protesters besieged in Hong Kong University",2019-11-19,"https://www.bbc.co.uk/programmes/w172wpkl42qb8pz","Programmes","BBC World Service","In Hong Kong, the siege around the Polytechnic University campus continues"
"9","Newshour: Concerns grow over besieged Hong Kong protesters",2019-11-19,"https://www.bbc.co.uk/programmes/w172wq51lh8tlb1","Programmes","BBC World Service","As the Polytechnic University in Hong Kong becomes the frontline in the pro a member of Hong Kong's executive council.
Also on the programme, the government are detained by police near the Hong Kong Polytechnic University in Hung Hom district"
"10","Newshour: Former employee of UK consulate in Hong Kong claims he was tortured in China",2019-11-20,"https://www.bbc.co.uk/programmes/w172wq51lh8xh74","Programmes","BBC World Service","A former employee of the UK consulate in Hong Kong has said he was tortured in China and accused of inciting unrest in Hong Kong. 

Also in the programme: The US consulate in Hong Kong. Credit: Reuters)"
"11","Newsday: Protesters holed up in Hong Kong University",2019-11-19,"https://www.bbc.co.uk/programmes/w172wpkl42qbdg3","Programmes","BBC World Service","We hear from a protesters holed up inside the Polytechnic University in Hong Kong as some demonstrators have managed to escape the building.

The Palestinian"
"12","Hong Kong protests: A city's identity crisis",2019-11-19,"https://www.bbc.co.uk/news/world-asia-china-50466041","News","China","Hong Kong's protests have become increasingly violent as they continue between the demonstrators and the police, between mainlanders and Hongkongers and even"
"13","Business Matters: Hong Kong Polytechnic University Standoff",2019-11-19,"https://www.bbc.co.uk/programmes/w172wmx61cpcd2d","Programmes","BBC World Service","Unrest continues in Hong Kong after more violent clashes between pro-democracy Molly Scott-Cato.

(Picture: Hong Kong Polytechnic. Copyright credit Philip Fong.)"
"14","Hong Kong protests: Demonstrators still inside university building",2019-11-19,"https://www.bbc.co.uk/newsround/50457101","Newsround","News","About 100 protestors are still inside a university in Hong Kong. They had"
"15","Hong Kong: What is the Basic Law and how does it work?",2019-11-20,"https://www.bbc.co.uk/news/world-asia-china-49633862","News","China","When Hong Kong was handed back to China on 1 July 1997, following more than 150 as the foundation of the relationship. While Hong Kong is part of China, the policy has given of how this unique system works. What is Hong Kong's Basic Law? The ""one country, two"
"16","Hong Kong Polytechnic University: Protesters still inside as standoff continues",2019-11-19,"https://www.bbc.co.uk/news/world-asia-china-50465337","News","China","The identity crisis behind Hong Kong's protests Up to 200 anti-government protesters remain barricaded inside a Hong Kong university, surrounded by police. The violence at PolyU is one of the biggest flare-ups Hong Kong has seen since protests"
"17","Newsday: Hong Kong University under siege",2019-11-18,"https://www.bbc.co.uk/programmes/w172wpkl42q7csw","Programmes","BBC World Service","Police in Hong Kong have arrested a number of pro-democracy activists"
"18","Newsday: Hong Kong police arrest protesters",2019-11-18,"https://www.bbc.co.uk/programmes/w172wpkl42q7hk0","Programmes","BBC World Service"," the Polytechnic University in Hong Kong. About five hundred pro-democracy activists had been"
"19","Newsday: Tense stand-off in Hong Kong",2019-11-18,"https://www.bbc.co.uk/programmes/w172wpkl42q749m","Programmes","BBC World Service","Police in Hong Kong have surrounded a campus where pro-democracy activists have"
"20","Newsday: Police surround activists in Hong Kong",2019-11-18,"https://www.bbc.co.uk/programmes/w172wpkl42q70kh","Programmes","BBC World Service","Police in Hong Kong have surrounded a campus where pro-democracy activists have"
"21","Tear gas and arrests at Hong Kong university",2019-11-18,"https://www.bbc.co.uk/news/world-asia-china-50457633","News","China","A number of protesters have been arrested while trying to run from a Hong Kong"
"22","Hong Kong Polytechnic University: Protesters arrested as they run from campus",2019-11-19,"https://www.bbc.co.uk/news/world-asia-china-50455727","News","China"," have been arrested while trying to run from a Hong Kong university campus by motorcycles. Hong Kong's Hospital Authority says 116 people have been injured and taken that ""no-one should underestimate [its] will to safeguard its sovereignty and Hong Kong's"
"23","Newshour: Hong Kong: Clashes as police lay siege to university",2019-11-18,"https://www.bbc.co.uk/programmes/w172wq51lh8rjmv","Programmes","BBC World Service"," of the students involved in Hong Kong's university siege.

Also in the programme to the road below, to escape from Hong Kong Polytechnic University campus and from police, in Hung Hom district in Hong Kong. Credit: Anthony Wallace/AFP via Getty Images)"
"24","News Daily: Hong Kong stand-off continues, and Attenborough sees plastics change",2019-11-19,"https://www.bbc.co.uk/news/uk-50461491","News","UK","If you want to get this briefing by email, sign up here Hong Kong university in prison if they are convicted of rioting. Hong Kong's leader - chief executive Carrie"". What's at stake for Hong Kong as the protests become increasingly violent? Paul Adams"
"25","Newsday: Pro-democracy activists trapped inside Hong Kong University",2019-11-18,"https://www.bbc.co.uk/programmes/w172wpkl42q7m94","Programmes","BBC World Service"," the Polytechnic University in Hong Kong. following a stand-off with police in which tear gas"
"26","Hong Kong Polytechnic University: Campus clashes as protest intensifies",2019-11-18,"https://www.bbc.co.uk/news/live/world-asia-50455580","News","Asia","Police and protesters - at Hong Kong Polytechnic University and in other areas"
"27","BBC OS: Hong Kong protests: Violence and arrests at University campus",2019-11-18,"https://www.bbc.co.uk/programmes/w172wrvwrct28g4","Programmes","BBC World Service","We get the latest updates from inside Hong Kong. Several protesters have been"
"28","BBC OS: Hong Kong protests: Violence and arrests at University campus",2019-11-18,"https://www.bbc.co.uk/programmes/w172wrvwrct2d68","Programmes","BBC World Service","We get the latest updates from inside Hong Kong. Several protesters have been"
"29","News Daily: Hong Kong stand-off and business election focus",2019-11-18,"https://www.bbc.co.uk/news/uk-50450997","News","UK"," in Hong Kong university stand-off There have been further tensions in Hong Kong . Get the background to the dispute in 100 and 500 words , an understanding of Hong Kong's relationship with China here and keep up with the latest developments through"
"30","World Update: Hong Kong protesters arrested as they run from campus",2019-11-18,"https://www.bbc.co.uk/programmes/w172wy9xjht3t7j","Programmes","BBC World Service"," week, the university campus has turned into a battleground as the long-running Hong Kong protests become more violent.

Also on the programme: Iran shuts down"
